City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
25,souillac,MU,75.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
26,makakilo city,US,79.61,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
27,ponta do sol,PT,74.03,clear sky,32.6667,-17.1,Hotel do Campo
28,nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
29,khon buri,TH,74.89,overcast clouds,14.5254,102.2459,Bangchongjai Cottage
30,tura,IN,73.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
31,korla,CN,72.36,overcast clouds,41.7597,86.1469,Gulisitan Hotel
32,cayenne,GF,76.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
33,batticaloa,LK,78.46,overcast clouds,7.7102,81.6924,Grand Star Guest House
34,martil,MA,71.56,broken clouds,35.6166,-5.2752,فندق مرتيل
35,dicabisagan,PH,80.13,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
36,roma,US,77.38,overcast clouds,43.2128,-75.4557,Wingate By Wyndham Rome
37,pemangkat,ID,77.7,overcast clouds,1.1667,108.9667,Ramah Kost KITA
38,balkanabat,TM,79.54,clear sky,39.5108,54.3671,Nebitchi Hotel
39,kudahuvadhoo,MV,83.21,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
40,hilo,US,81.81,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
41,belmonte,BR,77.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
43,pemba,MZ,72.5,light rain,-12.974,40.5178,Guesthouse Samotina
44,honiara,SB,82.62,scattered clouds,-9.4333,159.95,Heritage Park Hotel
45,bonthe,SL,78.8,light rain,7.5264,-12.505,Bonthe Holiday Village
47,marsh harbour,BS,80.1,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
48,lompoc,US,86.11,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
49,praia da vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
50,hithadhoo,MV,83.41,broken clouds,-0.6,73.0833,Scoop Guest House
51,vung tau,VN,77.61,overcast clouds,10.346,107.0843,Green hotel
52,wewak,PG,78.31,scattered clouds,-3.5534,143.6268,In Wewak Boutique Hotel
53,pangai,TO,73.51,broken clouds,-19.8,-174.35,Ha'apai Beach Resort
54,bambous virieux,MU,75.22,light rain,-20.3428,57.7575,Casa Tia Villa
55,mahebourg,MU,75.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
56,namie,JP,70.34,overcast clouds,37.4833,141.0,いこいの村なみえ
57,bengkulu,ID,74.98,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
58,sorong,ID,78.55,overcast clouds,-0.8833,131.25,waigo splash hotel
59,tazmalt,DZ,73.24,broken clouds,36.3868,4.3989,Hôtel Numédia
60,iberia,US,89.58,clear sky,29.9502,-91.7507,back to back rv park
61,amalapuram,IN,77.27,light rain,16.5833,82.0167,swayamprabha service apartments
62,alamosa,US,84.65,clear sky,37.4695,-105.87,Best Western Alamosa Inn
63,hasaki,JP,72.28,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
64,firminy,FR,71.62,clear sky,45.3873,4.2907,Hôtel de la Tour et Hôtel du Pole
65,puerto escondido,MX,76.5,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
66,clovis,US,89.37,clear sky,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
67,melilla,ES,70.18,clear sky,35.2937,-2.9383,Hotel Nacional
68,dingle,PH,76.91,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
69,katsuura,JP,72.19,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
70,axim,GH,79.84,few clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
71,kloulklubed,PW,79.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
73,nouadhibou,MR,70.2,few clouds,20.931,-17.0347,El Medina
74,tucurui,BR,75.24,overcast clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
75,coahuayana,MX,86.31,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
76,arraial do cabo,BR,72.41,light rain,-22.9661,-42.0278,Pousada Porto Praia
77,samarai,PG,81.5,clear sky,-10.6167,150.6667,Nuli Sapi
78,chaozhou,CN,77.65,overcast clouds,23.6651,116.6379,Seven Corner View Homestay
79,san cristobal,VE,74.98,scattered clouds,7.7669,-72.225,Posada Villaven C.A.
80,kafanchan,NG,70.7,overcast clouds,9.5833,8.3,Metro Guest Inn
81,hobyo,SO,77.58,overcast clouds,5.3505,48.5268,Halane Hotel and Restaurent
82,ibra,OM,83.61,clear sky,22.6906,58.5334,مزرعة راحة النفوس المنزفة
