City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
771,batticaloa,LK,7.7102,81.6924,78.46,73,85,7.23,overcast clouds
772,nikolskoye,RU,59.7035,30.7861,62.49,90,100,2.01,light rain
773,okhotsk,RU,59.3833,143.3,53.08,53,22,5.1,few clouds
774,anadyr,RU,64.75,177.4833,39.7,93,75,2.24,light rain
775,tuatapere,NZ,-46.1333,167.6833,46.35,84,2,5.1,clear sky
776,martil,MA,35.6166,-5.2752,71.56,88,75,3.44,broken clouds
777,dicabisagan,PH,17.0818,122.4157,80.13,83,100,4.88,overcast clouds
778,yulara,AU,-25.2406,130.9889,46.24,42,90,4.61,overcast clouds
779,roma,US,43.2128,-75.4557,77.38,80,100,6.35,overcast clouds
780,north bend,US,43.4065,-124.2243,64.24,91,100,7.31,overcast clouds
781,springdale,US,36.1867,-94.1288,92.19,64,90,8.99,overcast clouds
782,pemangkat,ID,1.1667,108.9667,77.7,80,100,4.68,overcast clouds
783,balkanabat,TM,39.5108,54.3671,79.54,47,0,7.16,clear sky
784,te anau,NZ,-45.4167,167.7167,43.97,88,9,0.98,clear sky
785,kudahuvadhoo,MV,2.6708,72.8944,83.21,73,42,12.73,scattered clouds
786,hilo,US,19.7297,-155.09,81.81,77,35,5.99,scattered clouds
787,tuktoyaktuk,CA,69.4541,-133.0374,42.8,81,75,10.36,broken clouds
788,belmonte,BR,-15.8631,-38.8828,77.5,79,86,6.55,overcast clouds
789,amapa,BR,1.0,-52.0,71.82,99,100,2.62,overcast clouds
790,mandalgovi,MN,45.7625,106.2708,56.52,69,52,7.4,broken clouds
791,constitucion,CL,-35.3333,-72.4167,58.33,80,49,6.98,scattered clouds
792,talaya,RU,61.3833,152.75,51.17,46,2,3.11,clear sky
793,almaznyy,RU,48.0448,40.045,60.94,93,0,7.09,clear sky
794,saskylakh,RU,71.9167,114.0833,39.7,67,96,14.99,overcast clouds
795,pemba,MZ,-12.974,40.5178,72.5,75,57,11.97,light rain
796,lebu,CL,-37.6167,-73.65,55.2,94,73,2.57,broken clouds
797,port elizabeth,ZA,-33.918,25.5701,59.29,67,20,6.91,few clouds
798,bredasdorp,ZA,-34.5322,20.0403,51.12,93,100,2.3,overcast clouds
799,lavumisa,SZ,-27.31,31.892,57.74,92,0,1.74,clear sky
800,tasiilaq,GL,65.6145,-37.6368,35.58,98,100,5.44,overcast clouds
801,honiara,SB,-9.4333,159.95,82.62,72,35,9.04,scattered clouds
802,bonthe,SL,7.5264,-12.505,78.8,83,100,5.26,light rain
803,wawa,NG,9.9022,4.4192,72.91,86,83,19.48,moderate rain
804,keetmanshoop,NA,-26.5833,18.1333,61.72,29,46,9.22,scattered clouds
805,nokaneng,BW,-19.6667,22.2667,54.09,42,0,6.78,clear sky
806,marsh harbour,BS,26.5412,-77.0636,80.1,72,98,4.0,overcast clouds
807,airai,TL,-8.9266,125.4092,56.37,93,41,3.04,scattered clouds
808,lompoc,US,34.6391,-120.4579,86.11,52,0,8.01,clear sky
809,durazno,UY,-33.4131,-56.5006,51.75,71,0,11.5,clear sky
810,praia da vitoria,PT,38.7333,-27.0667,70.05,83,75,0.47,broken clouds
811,hithadhoo,MV,-0.6,73.0833,83.41,74,65,10.56,broken clouds
812,sawtell,AU,-30.3833,153.1,42.82,100,75,0.0,broken clouds
813,pimentel,PE,-6.8367,-79.9342,68.29,82,90,4.0,overcast clouds
814,tornio,FI,65.8481,24.1466,60.82,80,0,12.41,clear sky
815,vung tau,VN,10.346,107.0843,77.61,91,100,20.22,overcast clouds
816,wewak,PG,-3.5534,143.6268,78.31,84,25,5.59,scattered clouds
817,pangai,TO,-19.8,-174.35,73.51,78,75,19.57,broken clouds
818,bambous virieux,MU,-20.3428,57.7575,75.22,78,40,14.97,light rain
819,lagoa,PT,39.05,-27.9833,67.26,84,29,2.26,scattered clouds
820,mahebourg,MU,-20.4081,57.7,75.25,78,40,14.97,scattered clouds
821,namie,JP,37.4833,141.0,70.34,81,100,6.89,overcast clouds
822,yellowknife,CA,62.456,-114.3525,52.32,100,90,13.8,moderate rain
823,torbay,CA,47.6666,-52.7314,48.27,83,75,3.44,broken clouds
824,quelimane,MZ,-17.8786,36.8883,64.35,88,0,1.99,clear sky
825,bengkulu,ID,-3.8004,102.2655,74.98,86,94,4.07,overcast clouds
826,yuzawa,JP,39.1667,140.5,64.22,77,100,4.27,overcast clouds
827,sorong,ID,-0.8833,131.25,78.55,87,93,8.75,overcast clouds
828,cherskiy,RU,68.75,161.3,43.14,56,42,9.57,scattered clouds
829,balykshi,KZ,47.0667,51.8667,68.0,73,0,4.47,clear sky
830,tazmalt,DZ,36.3868,4.3989,73.24,41,68,4.32,broken clouds
831,geraldton,AU,-28.7667,114.6,57.61,94,40,11.5,scattered clouds
832,provideniya,RU,64.3833,-173.3,39.99,93,100,9.98,overcast clouds
833,ribeira grande,PT,38.5167,-28.7,68.85,84,23,2.39,few clouds
834,fortuna,US,40.5982,-124.1573,65.32,59,1,21.85,clear sky
835,mareeba,AU,-17.0,145.4333,69.31,90,89,2.3,overcast clouds
836,roald,NO,62.5833,6.1333,53.91,82,75,13.8,broken clouds
837,port-cartier,CA,50.0334,-66.8654,57.92,51,79,10.09,broken clouds
838,flinders,AU,-34.5833,150.8552,56.05,62,1,8.99,clear sky
839,kozluk,TR,38.1938,41.4885,61.05,34,0,3.96,clear sky
840,iberia,US,29.9502,-91.7507,89.58,66,1,10.6,clear sky
841,luena,AO,-11.7833,19.9167,52.02,49,0,4.63,clear sky
